0.02;19.001;807.53;37500;37500;37500;ЧЕРЕПОВЕЦ;Арматура А500С;16мм.;(11,7м);ММЗ ГОСТ 34028-2016;Арматура;11.7;
0.04;18.486;1044.46;46500;46500;46500;РОСТОВ;Арматура А500С;16мм.;(11,7м);ММЗ ГОСТ 34028-2016;Арматура;11.7;
97.45;18.677;1284.96;63800;63500;63200;ЯРОСЛАВЛЬ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
58.42;14.414;1020.54;63800;63500;63200;ЯРОСЛАВЛЬ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
71.21;14.600;1077.51;63800;63500;63200;ЧЕХОВ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
37.12;14.590;1032.96;63800;63500;63200;ЧЕРЕПОВЕЦ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
48.79;14.403;918.89;63800;63500;63200;ЧЕЛНЫ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
18.48;14.391;1018.88;63800;63500;63200;ЧЕБОКСАРЫ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
36.80;14.332;1014.74;63800;63500;63200;УФА;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
131.01;14.625;1079.32;63800;63500;63200;УЛЬЯНОВСК;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
137.81;14.602;1150.61;63800;63500;63200;УГЛИ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
40.18;14.707;1085.37;63800;63500;63200;ТУЛА_ПЛЕХАНОВО;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
164.62;14.157;1073.10;65800;65500;65200;ТИТАРОВКА;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
81.59;14.473;1024.68;63800;63500;63200;ТВЕРЬ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
71.92;14.742;1014.25;63800;63500;63200;СТАРЫЙ ОСКОЛ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
94.01;14.777;1120.10;65800;65500;65200;СТАВРОПОЛЬ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
78.40;14.217;1049.25;63800;63500;63200;САРАТОВ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.75;
18.97;14.625;1079.32;63800;63500;63200;САРАНСК;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
21.30;14.742;1087.96;63800;63500;63200;САМАРА;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
14.69;14.722;1086.49;63800;63500;63200;РЯЗАНЬ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
19.61;14.157;1143.89;65800;65500;65200;РОСТОВ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
25.43;14.391;1062.06;63800;63500;63200;ПЕНЗА;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
